failure_mode,name,test,evidence,triggered,alternative_strategy
1,small_dataset_limits_generalization,LOCO / scaffold-out generalization metrics vs chance (0.5),LOCO=0.778 (n=21) scaffold_out=0.744 (n=21),NOT-TRIGGERED,report scores with bootstrap CIs; restrict candidate claims to applicable domain; do NOT extrapolate beyond AD
2,tafs_are_scaffold_specific,scaffold-out AUROC / fragment enrichment per scaffold,scaffold_out=0.744 (n=21); 56 MMP transforms,UNDETERMINED,explicitly mark TAFs vs scaffold-specific features; blueprint gates release until scaffold-transfer validated
3,xai_explanations_unstable,Spearman / Jaccard / top-k overlap across models x seeds x splits x methods,"[{'dimension': 'across_models_seeds_splits', 'spearman_rank_corr_mean': 0.5661048293193062, 'classification': 'MARGINAL'}, {'dimension': 'across_seeds_fixed_model', 'spearman_rank_corr_mean': 0.8787878787878786, 'classification': 'STABLE'}, {'dimension': 'across_models_fixed_seed', 'spearman_rank_corr_mean': 0.8927048301920304, 'classification': 'STABLE'}, {'dimension': 'method_gini_vs_permutation', 'spearman_rank_corr_mean': 0.2001562405707019, 'classification': 'UNSTABLE'}, {'dimension': 'method_gini_vs_ablation', 'spearman_rank_corr_mean': 0.266341658138024, 'classification': 'UNSTABLE'}]",ELEVATED-RISK,report all unstable explanations AS unstable; exclude them from TAF promotion; do not cherry-pick
4,structural_hypotheses_disagree,AF3/Boltz outputs cross-check (no outputs present),structural outputs: present,NOT_AVAILABLE-no_structural_outputs,structural hypotheses stay hypothesis-only; never used as experimental proof
5,reinvent_unrealistic_molecules,REINVENT validity / QED / Salibury-ratio heuristics,REINVENT binary: present,NOT_AVAILABLE-no_generated_molecules,apply RDKit sanity filters + medchem review gate before any synthesis nomination
6,generated_stay_in_original_space,candidate chemical-novelty / nearest-neighbour distance distribution,n_candidates=32; chemical_space report present,NOT-TRIGGERED,enforce novelty filter in scoring; synthesize scaffold-diverse portfolio (C/D groups)
7,predicted_activity_fails_experimentally,prospective experimental confirmation (not yet run),round results: PENDING_EXPERIMENT,PENDING_EXPERIMENT,predefined responder criteria; success/failure criteria decided before looking at results (section 33)
8,medchem_baseline_equals_or_beats_ai,Model E (traditional medchem analogs) vs deferred model comparison,medchem baseline: absent,UNDETERMINED,never claim AI superiority over baseline until prospective comparison data exists
9,experimental_sar_has_genuine_exceptions,MMP contradictory pairs + fragment enrichment outliers,56 MMP transforms incl. contradictory pairs,contradictions_logged_as_context_dependent,record exceptions explicitly; treat the TAF as CONTEXT_DEPENDENT until explained
10,activity_depends_on_unmodeled_receptor_context,electrophysiology assay variance / state dependence (no assay data),no electrophysiology context columns in dataset -> UNKNOWN,UNKNOWN-unmeasured,state hypothesis explicitly; require dose-response + state-control data before over-interpretation
